~id,~from,~to,~label
97_g__country,a_97,g___country,hasGenre
97_sfolk,a_97,s_folk,hasSubgenre
98_1978,a_98,y_1978,hasYear
98_aelvis_costello,a_98,a_elvis_costello,hasArtist
98_grock,a_98,g_rock,hasGenre
98_snew_wave,a_98,s_new_wave,hasSubgenre
99_1971,a_99,y_1971,hasYear
99_asly___the_family_stone,a_99,a_sly___the_family_stone,hasArtist
99_gfunk___soul,a_99,g_funk___soul,hasGenre
99_srhythm___blues,a_99,s_rhythm___blues,hasSubgenre
99_sfunk,a_99,s_funk,hasSubgenre
100_1968,a_100,y_1968,hasYear
100_athe_zombies,a_100,a_the_zombies,hasArtist
100_grock,a_100,g_rock,hasGenre
100_spsychedelic_rock,a_100,s_psychedelic_rock,hasSubgenre
101_1955,a_101,y_1955,hasYear
101_afrank_sinatra,a_101,a_frank_sinatra,hasArtist
101_gjazz,a_101,g_jazz,hasGenre
101_gpop,a_101,g_pop,hasGenre
101_sbig_band,a_101,s_big_band,hasSubgenre
101_sballad,a_101,s_ballad,hasSubgenre
102_1966,a_102,y_1966,hasYear
